,question,answer,image_path,label
263,is there a triangle in the image?,yes,25.png,4
264,does the image contain a gray shape?,no,25.png,12
265,is a gray shape present?,no,25.png,12
266,is a yellow shape present?,no,25.png,12
267,is there a teal shape?,yes,25.png,4
268,is there a brown shape in the image?,no,25.png,12
269,what shape is in the image?,triangle,26.png,9
270,what is the color of the shape?,red,26.png,2
271,is there a rectangle in the image?,no,26.png,12
272,is there not a circle in the image?,yes,26.png,4
273,is no circle present?,yes,26.png,4
274,does the image not contain a black shape?,yes,26.png,4
275,is there a red shape?,yes,26.png,4
276,does the image contain a green shape?,no,26.png,12
277,is no green shape present?,yes,26.png,4
278,is there a blue shape?,no,26.png,12
279,is a blue shape present?,no,26.png,12
280,is there a yellow shape?,no,26.png,12
281,what shape is in the image?,rectangle,27.png,7
282,what shape is present?,rectangle,27.png,7
283,what is the yellow shape?,rectangle,27.png,7
284,what color is the rectangle?,yellow,27.png,8
285,what is the color of the shape?,yellow,27.png,8
286,is there a rectangle?,yes,27.png,4
287,is a triangle present?,no,27.png,12
288,does the image not contain a black shape?,yes,27.png,4
289,is a yellow shape present?,yes,27.png,4
290,is there a brown shape in the image?,no,27.png,12
291,is there not a brown shape in the image?,yes,27.png,4
292,what is the green shape?,rectangle,28.png,7
293,is no triangle present?,yes,28.png,4
294,does the image contain a black shape?,no,28.png,12
295,is there not a red shape in the image?,yes,28.png,4
296,is a yellow shape present?,no,28.png,12
297,does the image not contain a teal shape?,yes,28.png,4
298,what color is the triangle?,red,29.png,2
299,is there a gray shape in the image?,no,29.png,12
300,is no gray shape present?,yes,29.png,4
301,does the image contain a red shape?,yes,29.png,4
302,is there a blue shape?,no,29.png,12
303,does the image not contain a blue shape?,yes,29.png,4
304,is a yellow shape present?,no,29.png,12
305,does the image not contain a yellow shape?,yes,29.png,4
306,is there a teal shape in the image?,no,29.png,12
307,what shape does the image contain?,triangle,30.png,9
308,what is the color of the triangle?,teal,30.png,5
309,is there a rectangle in the image?,no,30.png,12
310,is a circle present?,no,30.png,12
311,is no triangle present?,no,30.png,12
312,is there a black shape?,no,30.png,12
313,is there a green shape?,no,30.png,12
314,is there a yellow shape?,no,30.png,12
315,is there a brown shape?,no,30.png,12
316,what shape does the image contain?,triangle,31.png,9
317,what color is the shape?,green,31.png,1
318,what is the color of the shape?,green,31.png,1
319,does the image not contain a rectangle?,yes,31.png,4
320,is a circle present?,no,31.png,12
321,is there not a circle in the image?,yes,31.png,4
322,is there a triangle in the image?,yes,31.png,4
323,does the image contain a black shape?,no,31.png,12
324,is there not a black shape?,yes,31.png,4
325,is no gray shape present?,yes,31.png,4
326,is there a green shape in the image?,yes,31.png,4
327,is there a blue shape in the image?,no,31.png,12
328,is there a yellow shape?,no,31.png,12
329,is there a yellow shape in the image?,no,31.png,12
330,does the image not contain a teal shape?,yes,31.png,4
331,is there not a brown shape in the image?,yes,31.png,4
332,is no brown shape present?,yes,31.png,4
333,what shape is in the image?,rectangle,32.png,7
334,what shape is present?,rectangle,32.png,7
335,what is the yellow shape?,rectangle,32.png,7
336,is there not a rectangle?,no,32.png,12
337,is there not a rectangle in the image?,no,32.png,12
338,does the image contain a circle?,no,32.png,12
339,is there not a black shape?,yes,32.png,4
340,is there not a gray shape in the image?,yes,32.png,4
341,is there not a yellow shape in the image?,no,32.png,12
342,is there a teal shape in the image?,no,32.png,12
343,does the image contain a teal shape?,no,32.png,12
344,what shape does the image contain?,rectangle,33.png,7
345,what color is the rectangle?,black,33.png,6
346,is no circle present?,yes,33.png,4
347,is there not a red shape in the image?,yes,33.png,4
348,does the image not contain a yellow shape?,yes,33.png,4
349,is no yellow shape present?,yes,33.png,4
350,is a teal shape present?,no,33.png,12
351,what shape is in the image?,circle,34.png,0
352,what shape is present?,circle,34.png,0
353,what shape does the image contain?,circle,34.png,0
354,what is the color of the circle?,brown,34.png,10
355,does the image not contain a gray shape?,yes,34.png,4
356,is no green shape present?,yes,34.png,4
357,does the image not contain a blue shape?,yes,34.png,4
358,is there a teal shape?,no,34.png,12
359,does the image contain a teal shape?,no,34.png,12
360,is there not a teal shape?,yes,34.png,4
361,is a brown shape present?,yes,34.png,4
362,what shape is present?,triangle,35.png,9
363,is there a rectangle in the image?,no,35.png,12
364,does the image not contain a rectangle?,yes,35.png,4
365,is no rectangle present?,yes,35.png,4
366,is there a black shape?,no,35.png,12
367,is there not a black shape in the image?,yes,35.png,4
368,is there not a gray shape?,yes,35.png,4
369,is there not a green shape in the image?,yes,35.png,4
370,does the image contain a blue shape?,no,35.png,12
371,does the image not contain a blue shape?,yes,35.png,4
372,does the image contain a teal shape?,yes,35.png,4
373,what shape is present?,triangle,36.png,9
374,what color is the triangle?,gray,36.png,3
375,what color is the shape?,gray,36.png,3
376,does the image contain a circle?,no,36.png,12
377,does the image contain a gray shape?,yes,36.png,4
378,is there a red shape in the image?,no,36.png,12
379,is there a yellow shape?,no,36.png,12
380,what shape is in the image?,rectangle,37.png,7
381,what color is the rectangle?,green,37.png,1
382,does the image not contain a circle?,yes,37.png,4
383,is no circle present?,yes,37.png,4
384,is there a triangle in the image?,no,37.png,12
385,is a triangle present?,no,37.png,12
386,is there a gray shape?,no,37.png,12
387,is no green shape present?,no,37.png,12
388,is there a blue shape?,no,37.png,12
389,is there not a blue shape in the image?,yes,37.png,4
390,is no yellow shape present?,yes,37.png,4
391,is there not a brown shape in the image?,yes,37.png,4
392,does the image not contain a brown shape?,yes,37.png,4
393,what is the black shape?,circle,38.png,0
394,what color is the shape?,black,38.png,6
395,does the image contain a rectangle?,no,38.png,12
396,is a rectangle present?,no,38.png,12
397,is there not a circle?,no,38.png,12
398,is there a black shape in the image?,yes,38.png,4
399,does the image not contain a blue shape?,yes,38.png,4
400,is there a teal shape in the image?,no,38.png,12
401,is there a brown shape in the image?,no,38.png,12
402,what shape is present?,rectangle,39.png,7
403,does the image contain a rectangle?,yes,39.png,4
404,is a black shape present?,no,39.png,12
405,does the image contain a gray shape?,no,39.png,12
406,does the image contain a teal shape?,yes,39.png,4
407,is there not a brown shape?,yes,39.png,4
408,what shape is present?,triangle,40.png,9
409,what shape does the image contain?,triangle,40.png,9
410,what color is the triangle?,black,40.png,6
411,is there a rectangle in the image?,no,40.png,12
412,is there a circle in the image?,no,40.png,12
413,is there not a circle in the image?,yes,40.png,4
414,is there a red shape?,no,40.png,12
415,is there a green shape?,no,40.png,12
416,is a green shape present?,no,40.png,12
417,does the image contain a brown shape?,no,40.png,12
418,what is the teal shape?,triangle,41.png,9
419,is there a circle?,no,41.png,12
420,does the image contain a triangle?,yes,41.png,4
421,is there not a triangle?,no,41.png,12
422,is there a red shape?,no,41.png,12
423,is there not a blue shape?,yes,41.png,4
424,what shape is in the image?,circle,42.png,0
425,what shape does the image contain?,circle,42.png,0
426,what color is the shape?,black,42.png,6
427,is there not a circle in the image?,no,42.png,12
428,is there a triangle?,no,42.png,12
429,is there a triangle in the image?,no,42.png,12
430,is there not a triangle in the image?,yes,42.png,4
431,does the image contain a black shape?,yes,42.png,4
432,is there not a black shape?,no,42.png,12
433,is there not a gray shape in the image?,yes,42.png,4
434,is there not a green shape?,yes,42.png,4
435,is there a blue shape?,no,42.png,12
436,is there a teal shape?,no,42.png,12
437,what color is the triangle?,gray,43.png,3
438,is there a rectangle?,no,43.png,12
439,does the image contain a circle?,no,43.png,12
440,does the image not contain a circle?,yes,43.png,4
441,is there a green shape in the image?,no,43.png,12
442,does the image contain a green shape?,no,43.png,12
443,is there not a yellow shape in the image?,yes,43.png,4
444,does the image not contain a teal shape?,yes,43.png,4
445,what shape is in the image?,circle,44.png,0
446,what shape is present?,circle,44.png,0
447,what shape does the image contain?,circle,44.png,0
448,what is the black shape?,circle,44.png,0
449,what color is the shape?,black,44.png,6
450,what is the color of the shape?,black,44.png,6
451,does the image contain a rectangle?,no,44.png,12
452,does the image not contain a rectangle?,yes,44.png,4
453,is there a triangle?,no,44.png,12
454,is there not a black shape in the image?,no,44.png,12
455,does the image contain a red shape?,no,44.png,12
456,is a red shape present?,no,44.png,12
457,does the image contain a green shape?,no,44.png,12
458,is no blue shape present?,yes,44.png,4
459,is there not a brown shape?,yes,44.png,4
460,what shape is in the image?,circle,45.png,0
461,what is the brown shape?,circle,45.png,0
462,what color is the circle?,brown,45.png,10
463,what color is the shape?,brown,45.png,10
464,is there a rectangle?,no,45.png,12
465,does the image contain a blue shape?,no,45.png,12
466,is there a teal shape?,no,45.png,12
467,is no teal shape present?,yes,45.png,4
468,is there a brown shape in the image?,yes,45.png,4
469,what shape is present?,rectangle,46.png,7
470,what is the yellow shape?,rectangle,46.png,7
471,is no rectangle present?,no,46.png,12
472,is there a circle?,no,46.png,12
473,does the image not contain a triangle?,yes,46.png,4
474,is there not a gray shape in the image?,yes,46.png,4
475,is there not a red shape in the image?,yes,46.png,4
476,is no teal shape present?,yes,46.png,4
477,is there not a brown shape in the image?,yes,46.png,4
478,is no brown shape present?,yes,46.png,4
479,what shape is present?,circle,47.png,0
480,what is the color of the shape?,brown,47.png,10
481,is there a circle in the image?,yes,47.png,4
482,is there a triangle in the image?,no,47.png,12
483,does the image not contain a black shape?,yes,47.png,4
484,is no gray shape present?,yes,47.png,4
485,does the image not contain a green shape?,yes,47.png,4
486,does the image contain a blue shape?,no,47.png,12
487,is a brown shape present?,yes,47.png,4
488,what shape is in the image?,rectangle,48.png,7
489,what is the color of the shape?,yellow,48.png,8
490,does the image not contain a triangle?,yes,48.png,4
491,is there a black shape in the image?,no,48.png,12
492,is there not a gray shape in the image?,yes,48.png,4
493,is there not a blue shape in the image?,yes,48.png,4
494,is no blue shape present?,yes,48.png,4
495,is no teal shape present?,yes,48.png,4
496,does the image contain a brown shape?,no,48.png,12
497,is a brown shape present?,no,48.png,12
498,is a rectangle present?,no,49.png,12
499,is no circle present?,no,49.png,12
500,is no gray shape present?,yes,49.png,4
501,is there a green shape?,no,49.png,12
502,is there a yellow shape?,no,49.png,12
503,does the image contain a yellow shape?,no,49.png,12
504,does the image not contain a yellow shape?,yes,49.png,4
505,is no yellow shape present?,yes,49.png,4
506,what shape is present?,rectangle,50.png,7
507,what is the yellow shape?,rectangle,50.png,7
508,what is the color of the rectangle?,yellow,50.png,8
509,is no triangle present?,yes,50.png,4
510,is there not a blue shape?,yes,50.png,4
511,is there not a yellow shape in the image?,no,50.png,12
512,is no yellow shape present?,no,50.png,12
513,is a teal shape present?,no,50.png,12
514,what shape does the image contain?,rectangle,51.png,7
515,what is the color of the rectangle?,gray,51.png,3
516,is there not a black shape?,yes,51.png,4
517,is there not a gray shape in the image?,no,51.png,12
518,is a blue shape present?,no,51.png,12
519,what shape does the image contain?,triangle,52.png,9
520,what color is the triangle?,teal,52.png,5
521,what is the color of the shape?,teal,52.png,5
522,is a rectangle present?,no,52.png,12
523,is there a triangle in the image?,yes,52.png,4
524,is a triangle present?,yes,52.png,4
525,is there not a triangle in the image?,no,52.png,12
526,is a red shape present?,no,52.png,12
527,is there a green shape in the image?,no,52.png,12
528,is there a yellow shape?,no,52.png,12
529,is there not a teal shape?,no,52.png,12
530,is a brown shape present?,no,52.png,12
531,is there not a brown shape in the image?,yes,52.png,4
532,does the image not contain a brown shape?,yes,52.png,4
533,what shape is present?,triangle,53.png,9
534,what is the gray shape?,triangle,53.png,9
535,does the image contain a circle?,no,53.png,12
536,is there a black shape?,no,53.png,12
537,does the image contain a gray shape?,yes,53.png,4
538,is no red shape present?,yes,53.png,4
539,does the image not contain a blue shape?,yes,53.png,4
540,is there a teal shape?,no,53.png,12
541,is there a brown shape in the image?,no,53.png,12
542,is there not a brown shape in the image?,yes,53.png,4
543,what shape is in the image?,triangle,54.png,9
544,what is the color of the triangle?,green,54.png,1
545,what is the color of the shape?,green,54.png,1
546,is there a triangle?,yes,54.png,4
547,is there a black shape?,no,54.png,12
548,is there a gray shape in the image?,no,54.png,12
549,is there not a gray shape?,yes,54.png,4
550,does the image contain a green shape?,yes,54.png,4
551,is there a teal shape in the image?,no,54.png,12
552,is there not a teal shape?,yes,54.png,4
553,is no teal shape present?,yes,54.png,4
554,what color is the triangle?,blue,55.png,11
555,what is the color of the triangle?,blue,55.png,11
556,does the image contain a rectangle?,no,55.png,12
557,is there not a rectangle?,yes,55.png,4
558,is there a triangle?,yes,55.png,4
559,is there a triangle in the image?,yes,55.png,4
560,does the image not contain a black shape?,yes,55.png,4
561,is no green shape present?,yes,55.png,4
562,what shape does the image contain?,rectangle,56.png,7
563,is there not a triangle?,yes,56.png,4
564,is no black shape present?,yes,56.png,4
565,is a red shape present?,yes,56.png,4
566,is there a green shape in the image?,no,56.png,12
567,is there a blue shape?,no,56.png,12
568,is there not a blue shape in the image?,yes,56.png,4
569,is there a yellow shape in the image?,no,56.png,12
570,does the image not contain a yellow shape?,yes,56.png,4
571,is there not a brown shape?,yes,56.png,4
572,is a gray shape present?,no,57.png,12
573,is a yellow shape present?,no,57.png,12
574,is there a teal shape?,no,57.png,12
575,does the image contain a teal shape?,no,57.png,12
576,is a teal shape present?,no,57.png,12
577,is there a brown shape in the image?,yes,57.png,4
578,what shape is in the image?,triangle,58.png,9
579,what color is the shape?,teal,58.png,5
580,does the image contain a rectangle?,no,58.png,12
581,does the image contain a triangle?,yes,58.png,4
582,is there a red shape?,no,58.png,12
583,is there a blue shape in the image?,no,58.png,12
584,is there not a yellow shape?,yes,58.png,4
585,is no yellow shape present?,yes,58.png,4
586,what shape does the image contain?,rectangle,59.png,7
587,what color is the shape?,brown,59.png,10
588,is there not a rectangle?,no,59.png,12
589,is there a black shape?,no,59.png,12
590,does the image not contain a black shape?,yes,59.png,4
591,is there not a gray shape in the image?,yes,59.png,4
592,is there a yellow shape?,no,59.png,12
593,what shape is in the image?,rectangle,60.png,7
594,what shape is present?,rectangle,60.png,7
595,what shape does the image contain?,rectangle,60.png,7
596,what is the red shape?,rectangle,60.png,7
597,what color is the rectangle?,red,60.png,2
598,what is the color of the rectangle?,red,60.png,2
599,is there a triangle in the image?,no,60.png,12
600,is no triangle present?,yes,60.png,4
601,is there not a gray shape?,yes,60.png,4
602,does the image contain a red shape?,yes,60.png,4
603,does the image contain a green shape?,no,60.png,12
604,is there a blue shape?,no,60.png,12
605,does the image not contain a blue shape?,yes,60.png,4
606,is no blue shape present?,yes,60.png,4
607,is a teal shape present?,no,60.png,12
608,is there not a brown shape in the image?,yes,60.png,4
609,what shape is present?,circle,61.png,0
610,is there not a rectangle?,yes,61.png,4
611,does the image not contain a rectangle?,yes,61.png,4
612,is there a triangle in the image?,no,61.png,12
613,is a gray shape present?,no,61.png,12
614,is no gray shape present?,yes,61.png,4
615,is a green shape present?,no,61.png,12
616,is no teal shape present?,yes,61.png,4
617,is there a brown shape in the image?,no,61.png,12
618,what shape does the image contain?,circle,62.png,0
619,what is the red shape?,circle,62.png,0
620,is no rectangle present?,yes,62.png,4
621,does the image not contain a circle?,no,62.png,12
622,is no triangle present?,yes,62.png,4
623,is there a black shape?,no,62.png,12
624,is a black shape present?,no,62.png,12
625,is there a red shape?,yes,62.png,4
626,is there not a red shape?,no,62.png,12
627,is there a green shape?,no,62.png,12
628,is there not a blue shape in the image?,yes,62.png,4
629,what shape does the image contain?,rectangle,63.png,7
630,what is the green shape?,rectangle,63.png,7
631,what color is the rectangle?,green,63.png,1
632,is no rectangle present?,no,63.png,12
633,is there a circle?,no,63.png,12
634,is there not a circle?,yes,63.png,4
635,does the image contain a triangle?,no,63.png,12
636,does the image not contain a gray shape?,yes,63.png,4
637,is there a teal shape?,no,63.png,12
638,what shape is in the image?,rectangle,64.png,7
639,what is the color of the rectangle?,red,64.png,2
640,what is the color of the shape?,red,64.png,2
641,is there a rectangle?,yes,64.png,4
642,is there a rectangle in the image?,yes,64.png,4
643,is there not a black shape in the image?,yes,64.png,4
644,is a gray shape present?,no,64.png,12
645,is there a red shape?,yes,64.png,4
646,is there not a green shape?,yes,64.png,4
647,is no yellow shape present?,yes,64.png,4
648,does the image contain a teal shape?,no,64.png,12
649,is no teal shape present?,yes,64.png,4
650,is there a brown shape in the image?,no,64.png,12
651,is no brown shape present?,yes,64.png,4
652,what shape is in the image?,rectangle,65.png,7
653,what shape is present?,rectangle,65.png,7
654,what is the color of the shape?,red,65.png,2
655,is there not a triangle?,yes,65.png,4
656,is there a black shape in the image?,no,65.png,12
657,does the image not contain a black shape?,yes,65.png,4
658,is there not a gray shape?,yes,65.png,4
659,does the image contain a green shape?,no,65.png,12
660,is no blue shape present?,yes,65.png,4
661,what shape is in the image?,triangle,66.png,9
662,what shape is present?,triangle,66.png,9
663,what shape does the image contain?,triangle,66.png,9
664,what color is the triangle?,gray,66.png,3
665,what is the color of the triangle?,gray,66.png,3
666,what is the color of the shape?,gray,66.png,3
667,is there a rectangle?,no,66.png,12
668,is there not a rectangle in the image?,yes,66.png,4
669,does the image contain a triangle?,yes,66.png,4
